GeneID,Base-mean,log2_FC,StdErr,Wald-Stats,P-value,P-adj,chr,start,stop,strand,NA,genename
ENSMUSG00000045087,413.9098294,5.777552131,0.312206547,18.50554446,1.86E-76,2.40E-72,chr9,21242911,21248443,-,protein_coding,S1pr5
ENSMUSG00000035042,4718.190379,2.770172399,0.161277815,17.17640085,3.99E-66,2.57E-62,chr11,83525777,83530518,-,protein_coding,Ccl5
ENSMUSG00000079071,252.4756818,-5.464127115,0.362089223,-15.09055439,1.87E-51,8.02E-48,chr2,122484940,122528040,+,protein_coding,Gm14085
ENSMUSG00000019982,439.1878916,-3.852187911,0.274964497,-14.00976475,1.36E-44,4.37E-41,chr10,21124934,21160984,-,protein_coding,Myb
ENSMUSG00000015133,737.569525,2.649683651,0.197513697,13.41518936,4.93E-41,1.27E-37,chr7,66258744,66388350,-,protein_coding,Lrrk1
ENSMUSG00000001025,573.3388541,3.235426931,0.243735862,13.27431631,3.26E-40,7.00E-37,chr3,90612881,90614414,+,protein_coding,S100a6
ENSMUSG00000026576,221.9669096,-4.322598228,0.326963361,-13.22043613,6.69E-40,1.23E-36,chr1,164437108,164458355,-,protein_coding,Atp1b1
ENSMUSG00000020593,1535.930435,2.233190596,0.170772368,13.07700198,4.46E-39,7.17E-36,chr12,16535668,16610966,-,protein_coding,Lpin1
ENSMUSG00000034349,3286.104754,-1.839543136,0.152003326,-12.10199263,1.03E-33,1.47E-30,chr3,69004737,69034623,+,protein_coding,Smc4
ENSMUSG00000048376,1127.302406,2.144895398,0.182469845,11.75479376,6.67E-32,8.59E-29,chr13,95601802,95618487,-,protein_coding,F2r
ENSMUSG00000026656,193.3602469,3.84292856,0.32921242,11.67309716,1.75E-31,2.05E-28,chr1,170958616,170976547,-,protein_coding,Fcgr2b
ENSMUSG00000030167,428.268372,2.604676266,0.228272874,11.41036259,3.71E-30,3.98E-27,chr6,129666014,129678973,-,protein_coding,Klrc1
ENSMUSG00000025314,210.9165694,3.680961314,0.333051734,11.05222084,2.14E-28,2.05E-25,chr2,90429755,90580647,-,protein_coding,Ptprj
ENSMUSG00000040724,173.9386824,-3.672701976,0.332411036,-11.04867643,2.22E-28,2.05E-25,chr3,107101145,107115005,+,protein_coding,Kcna2
ENSMUSG00000020644,968.8745688,2.801110161,0.255447225,10.96551413,5.60E-28,4.81E-25,chr12,25093798,25097140,-,protein_coding,Id2
ENSMUSG00000069833,21763.6086,1.514780248,0.139218159,10.88062259,1.43E-27,1.15E-24,chr19,8989283,9076919,+,protein_coding,Ahnak
ENSMUSG00000104291,1383.015139,-2.047935355,0.190135243,-10.77094032,4.72E-27,3.58E-24,chr1,138161819,138167683,-,TEC,A130071D04Rik
