initial_alias,converted_alias,name,description,namespace
ENSMUSG00000045087,ENSMUSG00000045087,S1pr5,sphingosine-1-phosphate receptor 5 [Source:MGI Symbol;Acc:MGI:2150641],"ARRAYEXPRESS,ENSG"
ENSMUSG00000026656,ENSMUSG00000026656,Fcgr2b,"Fc receptor, IgG, low affinity IIb [Source:MGI Symbol;Acc:MGI:95499]","ARRAYEXPRESS,ENSG"
ENSMUSG00000003420,ENSMUSG00000003420,Fcgrt,Fc fragment of IgG receptor and transporter [Source:MGI Symbol;Acc:MGI:103017],"ARRAYEXPRESS,ENSG"
ENSMUSG00000015314,ENSMUSG00000015314,Slamf6,SLAM family member 6 [Source:MGI Symbol;Acc:MGI:1353620],"ARRAYEXPRESS,ENSG"
ENSMUSG00000077714,ENSMUSG00000077714,Snord17,"small nucleolar RNA, C/D box 17 [Source:MGI Symbol;Acc:MGI:3819523]","ARRAYEXPRESS,ENSG"
ENSMUSG00000104291,ENSMUSG00000104291,A130071D04Rik,RIKEN cDNA A130071D04 gene [Source:MGI Symbol;Acc:MGI:2444749],"ARRAYEXPRESS,ENSG"
ENSMUSG00000030247,ENSMUSG00000030247,Kcnj8,"potassium inwardly-rectifying channel, subfamily J, member 8 [Source:MGI Symbol;Acc:MGI:1100508]","ARRAYEXPRESS,ENSG"
ENSMUSG00000026576,ENSMUSG00000026576,Atp1b1,"ATPase, Na+/K+ transporting, beta 1 polypeptide [Source:MGI Symbol;Acc:MGI:88108]","ARRAYEXPRESS,ENSG"
ENSMUSG00000038393,ENSMUSG00000038393,Txnip,thioredoxin interacting protein [Source:MGI Symbol;Acc:MGI:1889549],"ARRAYEXPRESS,ENSG"
ENSMUSG00000035901,ENSMUSG00000035901,Dennd5a,DENN/MADD domain containing 5A [Source:MGI Symbol;Acc:MGI:1201681],"ARRAYEXPRESS,ENSG"
ENSMUSG00000026833,ENSMUSG00000026833,Olfm1,olfactomedin 1 [Source:MGI Symbol;Acc:MGI:1860437],"ARRAYEXPRESS,ENSG"
