GeneID,Base-mean,log2_FC,StdErr,Wald-Stats,P-value,P-adj,chr,start,stop,strand,NA,genename
ENSMUSG00000027469,163.7815784,2.762609548,0.322520606,8.565683859,1.07E-17,4.74E-14,chr2,152847963,152895321,+,protein_coding,Tpx2
ENSMUSG00000020649,125.8309244,2.754823589,0.33028111,8.340845135,7.38E-17,2.44E-13,chr12,24708240,24714146,+,protein_coding,Rrm2
ENSMUSG00000069267,141.1604038,2.613802221,0.334909386,7.804505725,5.97E-15,1.13E-11,chr13,23752266,23752886,+,protein_coding,Hist1h3b
ENSMUSG00000041498,61.46257066,2.496060399,0.355664372,7.018022027,2.25E-12,1.99E-09,chr1,136467934,136531511,+,protein_coding,Kif14
ENSMUSG00000009350,43.43906285,2.494304464,0.364874434,6.836062584,8.14E-12,6.48E-09,chr11,87793580,87804413,+,protein_coding,Mpo
ENSMUSG00000042489,200.5437773,2.341967183,0.293469426,7.980276563,1.46E-15,3.87E-12,chr4,126556934,126593903,+,protein_coding,Clspn
ENSMUSG00000058290,62.31825723,2.311391859,0.338958455,6.819100771,9.16E-12,6.74E-09,chr15,102296265,102324357,+,protein_coding,Espl1
ENSMUSG00000075031,169.4070865,2.299734226,0.317838598,7.235541068,4.64E-13,4.72E-10,chr13,23746733,23747241,+,protein_coding,Hist1h2bb
ENSMUSG00000026669,98.66413494,2.270251642,0.348276475,6.518532853,7.10E-11,3.38E-08,chr2,4989713,5012791,-,protein_coding,Mcm10
ENSMUSG00000042029,197.0460812,2.221847532,0.325166634,6.832950551,8.32E-12,6.48E-09,chr12,116405401,116461611,+,protein_coding,Ncapg2
ENSMUSG00000039396,41.10422169,2.2188035,0.358790454,6.18412077,6.24E-10,2.07E-07,chr8,53586866,53639065,-,protein_coding,Neil3
ENSMUSG00000019942,69.55517043,2.201583734,0.359211754,6.128930101,8.85E-10,2.79E-07,chr10,69335145,69352938,-,protein_coding,Cdk1
ENSMUSG00000020897,36.6101656,2.199540297,0.366355138,6.003847272,1.93E-09,5.43E-07,chr11,69045646,69051664,+,protein_coding,Aurkb
ENSMUSG00000002055,81.59082626,2.187693911,0.353582863,6.187217025,6.12E-10,2.07E-07,chr11,78301528,78322457,+,protein_coding,Spag5
ENSMUSG00000072082,45.62923536,2.183257085,0.357569898,6.105819014,1.02E-09,3.08E-07,chr17,24223231,24251409,-,protein_coding,Ccnf
ENSMUSG00000051910,46.4369237,2.180442425,0.367005188,5.941176028,2.83E-09,7.49E-07,chr7,115470871,116038744,-,protein_coding,Sox6
ENSMUSG00000069274,86.20266839,2.179456,0.34554433,6.307312286,2.84E-10,1.04E-07,chr13,23551257,23551648,-,protein_coding,Hist1h4f
ENSMUSG00000001403,56.55291008,2.146601227,0.363704793,5.902042717,3.59E-09,8.65E-07,chr2,164769897,164778822,+,protein_coding,Ube2c
